1; Aarseth ;1966;100;0
2; Peebles ;1970;300;0
3; Press & Schechter ;1974;1000;0
4; Miyoshi & Kihara ;1975;400;0
5; White ;1976;700;0
6; Aarseth et al.;1979;4000;0
7; Terlevich ;1980;1000;0
8; Efstathiou & Eastwood ;1981;20000;0
9; White, Frenk & Davis ;1983;32768;0
10; Davis et al. ;1985;32768;0
11; Quinn et al.;1986;7000;0
12; Inagaki ;1986;3000;0
13; White et al.;1987;216000;0
14; Carlberg & Couchman ;1989;524288;0
15; Dubinski & Carlberg ;1991;300000;0
16; Suto & Suginohara ;1991;2097152;0
17; Warren et al.;1992;1000000;0
18; Couchman & Carlberg ;1992;2097152;0
19; Aarseth & Heggie ;1993;6000;0
20; Gelb & Bertschinger ;1994;2985984;0
21; Zurek et al.;1994;17154598;0
22; Spurzem et al.;1996;10000;0
23; Makino ;1996;32768;0
24; Jenkins et al. ;1998;16777216;0
25; Governato et al. ;1999;47000000;0
26; Colberg et al. ;2000;1000000000;0
27; Bode et al.;2001;134217728;0
28; Baumgardt & Makino ;2003;131028;0
29; Wambsganss et al.;2004;1073741824;0
30; Portegies Zwart et al. ;2004;140000;0
31; Springel et al.;2005;10077696000;0
